City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Bambanglipuro,ID,2022-10-11 21:34:04,-7.95,110.2833,297.58,90,100,2.09
271,Letka,RU,2022-10-11 21:34:05,59.6011,49.4232,276.02,92,1,1.23
272,Kapaa,US,2022-10-11 21:34:05,22.0752,-159.319,302.14,72,100,2.06
273,Atyrau,KZ,2022-10-11 21:34:06,47.1167,51.8833,286.16,71,40,2.0
274,Yangjiang,CN,2022-10-11 21:30:22,21.85,111.9667,290.38,46,5,3.14
275,Bubaque,GW,2022-10-11 21:34:07,11.2833,-15.8333,298.99,86,91,6.1
276,Koson,UZ,2022-10-11 21:34:07,39.0375,65.585,284.33,24,2,0.5
277,Sayyan,YE,2022-10-11 21:34:09,15.1718,44.3244,287.22,35,4,2.25
278,Lodwar,KE,2022-10-11 21:34:09,3.1191,35.5973,302.81,30,25,7.78
279,Nanortalik,GL,2022-10-11 21:34:10,60.1432,-45.2371,273.99,78,34,3.65
280,Takoradi,GH,2022-10-11 21:34:10,4.8845,-1.7554,298.07,85,39,2.74
281,Black River,JM,2022-10-11 21:34:11,18.0264,-77.8487,302.32,74,60,5.27
282,Lokosovo,RU,2022-10-11 21:34:13,61.1333,74.8167,276.4,86,60,3.74
283,Kralendijk,BQ,2022-10-11 21:34:14,12.15,-68.2667,302.14,79,75,7.2
284,Saint George,US,2022-10-11 21:34:14,37.1041,-113.5841,304.5,20,0,4.12
285,Yumen,CN,2022-10-11 21:34:16,40.2833,97.2,279.91,32,100,3.9
286,Cap Malheureux,MU,2022-10-11 21:34:17,-19.9842,57.6142,293.97,72,25,1.34
287,Puerto Leguizamo,CO,2022-10-11 21:34:18,-0.1934,-74.7819,300.84,71,99,0.73
288,Adrar,MR,2022-10-11 21:34:18,20.5022,-10.0711,306.56,19,70,3.66
289,Luena,AO,2022-10-11 21:34:19,-11.7833,19.9167,291.1,30,15,1.84
290,Ixtapa,MX,2022-10-11 21:34:20,20.7,-105.2,304.94,66,0,4.12
291,Shimoda,JP,2022-10-11 21:34:21,34.6667,138.95,291.54,74,100,7.87
292,Ikwiriri,TZ,2022-10-11 21:34:21,-7.9562,38.9716,293.07,86,3,1.32
293,Aklavik,CA,2022-10-11 21:34:22,68.2191,-135.0107,272.22,76,78,3.74
