City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Rocha,UY,-34.4833,-54.3333,55.99,86,70,10.74,broken clouds
261,Razole,IN,16.4833,81.8333,78.28,89,81,4.61,broken clouds
262,Veraval,IN,20.9,70.3667,77.11,53,37,11.23,scattered clouds
263,Camacha,PT,33.0833,-16.3333,65.62,83,0,5.75,clear sky
264,Iqaluit,CA,63.7506,-68.5145,40.69,86,75,20.0,broken clouds
265,Atar,MR,20.5169,-13.0499,89.89,28,95,4.41,overcast clouds
266,Karratha,AU,-20.7377,116.8463,84.65,24,0,9.22,clear sky
267,Saravena,CO,6.9538,-71.8752,71.73,98,95,2.28,overcast clouds
268,Havelock,US,34.8791,-76.9013,73.38,88,0,8.05,clear sky
269,Jumla,NP,29.2747,82.1838,53.29,49,0,2.93,clear sky
270,Sorgun,TR,39.8101,35.186,53.89,85,99,7.7,overcast clouds
271,Piacabucu,BR,-10.4056,-36.4344,73.78,82,19,6.49,few clouds
272,Torbat-E Jam,IR,35.244,60.6225,63.23,22,4,5.61,clear sky
273,Pacific Grove,US,36.6177,-121.9166,63.66,75,0,1.01,clear sky
274,Vanimo,PG,-2.6741,141.3028,84.34,69,57,4.03,broken clouds
275,Shaunavon,CA,49.6501,-108.4181,47.98,39,12,9.55,few clouds
276,Castro,BR,-24.7911,-50.0119,57.31,94,1,1.52,clear sky
277,Natchez,US,31.5604,-91.4032,72.84,78,0,5.75,clear sky
278,Khani,GE,41.9563,42.9566,51.37,83,83,4.52,broken clouds
279,Sehithwa,BW,-20.4667,22.7167,69.93,50,98,7.72,overcast clouds
280,Tripoli,LY,32.8752,13.1875,72.25,69,62,10.42,broken clouds
281,Bud,US,39.447,-86.1758,53.67,57,62,9.75,broken clouds
282,Ponta Pora,BR,-22.5361,-55.7256,64.6,97,5,6.17,clear sky
283,Colesberg,ZA,-30.72,25.0972,58.68,81,100,4.54,light rain
284,Inirida,CO,3.8653,-67.9239,71.19,94,89,1.86,overcast clouds
285,Tarata,BO,-17.6167,-66.0167,60.22,67,100,4.85,overcast clouds
286,Nyrob,RU,60.733,56.7202,40.48,95,100,3.8,overcast clouds
287,Rudnya,RU,54.947,31.0934,44.6,80,100,14.9,overcast clouds
288,Cervo,ES,43.6702,-7.4101,60.53,91,100,4.76,overcast clouds
289,Mundo Nuevo,MX,18.7,-95.5,80.31,85,64,8.81,broken clouds
290,Gasa,PS,31.5,34.4667,74.5,60,0,11.65,clear sky
291,Laguna,US,38.421,-121.4238,67.98,68,0,8.05,clear sky
292,Nelson Bay,AU,-32.7167,152.15,69.12,76,21,7.0,light rain
293,Mbekenyera,TZ,-10.0,38.9833,65.44,88,10,3.47,clear sky
294,Komsomolskiy,UZ,40.4272,71.7189,54.32,50,100,6.91,overcast clouds
295,Hamilton,US,39.1834,-84.5333,58.86,52,0,9.22,clear sky
296,Rawson,AR,-43.3002,-65.1023,48.2,88,68,8.95,broken clouds
297,Nabire,ID,-3.3667,135.4833,86.31,65,89,5.75,overcast clouds
298,Chimbote,PE,-9.0853,-78.5783,60.46,88,95,10.31,overcast clouds
299,Gushikawa,JP,26.3544,127.8686,83.79,74,75,10.36,broken clouds
300,Mayo,US,38.8876,-76.5119,64.35,77,100,8.05,overcast clouds
301,Fort Nelson,CA,58.8053,-122.7002,37.94,67,20,3.44,few clouds
302,Cabedelo,BR,-6.9811,-34.8339,75.87,83,55,10.22,broken clouds
303,Sertaozinho,BR,-21.1378,-47.9903,77.11,56,79,6.02,broken clouds
304,San Quintin,MX,30.4833,-115.95,67.24,83,19,14.25,few clouds
305,Haines Junction,CA,60.7522,-137.5108,44.55,87,100,3.44,overcast clouds
306,Samarai,PG,-10.6167,150.6667,82.13,79,59,10.58,broken clouds
307,Kodinar,IN,20.7903,70.7031,75.52,56,65,9.66,broken clouds
308,Sinop,TR,41.7711,34.8709,53.06,98,100,3.33,light rain
309,Muros,ES,42.7762,-9.0603,58.68,91,100,8.03,light rain
310,Moerai,PF,-22.4333,-151.3333,71.62,69,23,19.91,few clouds
311,San Policarpo,PH,12.1791,125.5072,84.6,73,99,6.46,overcast clouds
312,Tual,ID,-5.6667,132.75,83.53,77,100,7.05,overcast clouds
313,La Ronge,CA,55.1001,-105.2842,35.85,55,100,10.36,overcast clouds
314,Ugoofaaru,MV,5.6667,73.0,80.8,80,100,22.5,overcast clouds
315,Bandarbeyla,SO,9.4942,50.8122,76.28,85,7,1.7,clear sky
316,Araouane,ML,18.9048,-3.5265,86.58,10,100,6.24,overcast clouds
317,Viedma,AR,-40.8135,-62.9967,52.43,67,100,7.34,overcast clouds
318,Oistins,BB,13.0667,-59.5333,82.49,78,20,12.66,few clouds
319,Maurawan,IN,26.4333,80.8833,73.47,58,0,2.19,clear sky
320,Koshurnikovo,RU,54.1667,93.3,32.67,54,98,2.24,overcast clouds
321,Necochea,AR,-38.5473,-58.7368,46.44,86,32,10.0,scattered clouds
322,Ericeira,PT,38.9627,-9.4156,66.78,89,100,9.64,overcast clouds
323,Cay,TR,38.5917,31.0286,51.94,91,100,6.89,overcast clouds
324,Nikel,RU,69.4128,30.222,39.38,96,100,4.45,overcast clouds
325,Mkushi,ZM,-13.6202,29.3939,64.38,45,0,4.88,clear sky
326,Arlit,NE,18.7369,7.3853,82.81,22,0,14.54,clear sky
327,Leningradskiy,RU,69.3833,178.4167,16.07,90,100,7.7,overcast clouds
328,Jalu,LY,29.0331,21.5482,65.3,67,0,8.1,clear sky
329,Japura,ID,-0.3167,102.35,79.29,88,100,3.18,overcast clouds
330,Mega,ET,4.05,38.3,57.83,84,100,4.94,overcast clouds
331,Lata,PT,40.1629,-8.3327,65.8,79,98,4.54,light rain
332,Aykhal,RU,66.0,111.5,18.23,98,98,1.57,overcast clouds
333,Novyy Urengoy,RU,66.0833,76.6333,36.46,91,100,5.79,overcast clouds
334,Allapalli,IN,19.4167,80.0667,75.0,96,25,0.31,scattered clouds
335,Hambantota,LK,6.1241,81.1185,79.12,79,100,11.68,overcast clouds
336,Faanui,PF,-16.4833,-151.75,78.69,71,3,13.53,clear sky
337,Vitim,RU,59.4511,112.5578,31.48,70,99,8.57,overcast clouds
338,Cookeville,US,36.1628,-85.5016,59.99,96,100,1.01,overcast clouds
339,Coruripe,BR,-10.1256,-36.1756,73.36,84,64,7.05,broken clouds
340,Tomatlan,MX,19.9333,-105.25,77.85,91,15,4.03,few clouds
341,Valdivia,CL,-39.8142,-73.2459,50.09,99,57,2.24,broken clouds
342,San Francisco,US,37.7749,-122.4194,63.88,82,20,5.99,few clouds
343,Mitsamiouli,KM,-11.3847,43.2844,74.68,81,1,8.61,clear sky
344,Ilebo,CD,-4.3167,20.5833,68.2,99,76,0.31,broken clouds
345,Baghdad,IQ,33.3406,44.4009,71.51,33,0,9.22,clear sky
346,Kawalu,ID,-7.3817,108.2082,77.5,82,99,5.23,overcast clouds
